"OTU","Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"65","OTU_65",0,0,0,0,0,0,0,134,0,0,0,0,1,0,0,2,4,5,0,0,2,0,3,12,0,12,0,30,4477,1466,1351,1091,3004,3676,272,0,27,36,9,15,7,11,62,269,52,105,55,101
"66","OTU_66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11465,196,348,0,1,0,11,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","OTU_67",0,0,0,0,0,0,0,13,0,0,0,0,9,4,6,8,17,28,0,0,0,0,0,0,0,0,4,2,4,7877,5151,23,8,2,1,0,5,4,2,6,6,4,4,9,5,7,5,4
"68","OTU_68",0,0,0,0,0,0,0,37,0,0,0,0,90,41,31,34,91,231,0,0,0,0,0,0,0,0,0,0,0,7,9,35,0,0,0,0,1996,3129,988,2098,880,993,186,665,262,413,317,611
"69","OTU_69",0,0,0,0,0,0,0,151,0,0,0,0,16,1,7,15,48,25,0,0,1108,1614,1028,2642,1508,3061,317,161,450,402,1690,196,105,44,61,0,626,1342,197,606,1917,2436,450,1847,387,899,340,678
"70","OTU_70",0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,28,21,70,0,0,56,154,203,240,817,174,21,1,11,1,5,1,4,4,15,0,0,0,0,0,0,1,593,2873,643,1792,762,3169
"71","OTU_71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4206,3058,1943,6286,3601,75,151,51,0,0,1,0,0,0,0,0,0,0,0,0,1
"72","OTU_72",0,0,0,0,0,0,0,91,0,0,0,0,72,5,15,33,30,50,0,0,3474,2511,2112,1281,465,1468,8,7,20,20,0,4,15,0,41,0,57,3,10,28,16,2,35,253,36,3,148,6
"73","OTU_73",0,0,0,0,0,0,0,1,0,0,0,0,11,2,1,4,5,10,0,0,126,137,157,206,98,139,0,0,0,0,4,0,0,0,0,0,1830,2217,981,2569,1235,1524,69,217,52,123,67,156
"74","OTU_74",0,0,0,0,0,0,0,23,0,0,0,0,7,5,15,26,85,164,0,0,535,877,1236,2802,822,1802,4,7,116,14,37,1,0,0,0,0,320,350,269,674,60,169,23,132,41,103,42,78
"75","OTU_75",0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,1,3,12,0,0,0,0,0,0,0,0,0,27,12,28,36,5,44,19,17,0,0,0,0,1,0,0,801,2802,496,1875,1052,3476
"76","OTU_76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,73,3504,3648,7127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","OTU_77",0,0,0,1,0,0,0,178,0,0,0,0,17,3,2,17,58,56,0,0,0,1,0,0,0,0,0,0,1,18,18,3,1,2,3,0,148,367,571,1679,1271,737,575,1824,381,1072,396,1182
"78","OTU_78",0,0,0,0,0,0,0,49,0,0,0,0,10,3,4,1,10,20,0,0,588,852,1650,4114,384,882,4,9,9,0,2,2,0,4,0,0,41,56,530,279,29,26,110,413,186,405,345,869
"79","OTU_79",229,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,0,0,0,0,0,9037,0,0,0,0,0,0,0,0,1,0,0,0,0
"80","OTU_80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,729,179,357,204,453,0,0,1,0,1260,3131,0,0,0,0,0,0,3382
"81","OTU_81",0,8196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","OTU_82",0,0,440,647,0,0,0,1890,0,0,0,0,1923,958,491,1798,1273,3179,0,0,631,425,2045,777,281,95,12,5,4,22,25,2,37,20,13,0,2809,3011,1735,6046,2348,2919,1687,5189,1231,3085,2168,3827
"83","OTU_83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,4416,4630,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","OTU_84",0,0,0,0,0,0,0,0,0,0,0,0,14,11,3,7,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2737,3518,2760,0,0,0,0,1,1,0,2,2,1,3,1,3
"85","OTU_85",0,0,3,39,0,0,0,671,0,0,0,0,1860,424,448,640,775,2110,0,0,139,139,154,376,2,54,1,1,2,0,0,0,0,0,0,0,27,24,46,221,60,98,594,2032,475,1244,782,1907
"86","OTU_86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,234,7569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","OTU_87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2743,528,3311,154,181,93,111,68,102,0,287,0,151,0,0,1,0,0,0,0,1,0
"88","OTU_88",0,0,0,0,0,0,0,1119,0,0,0,0,0,0,0,0,2,12,0,0,0,0,3,0,0,0,0,0,0,3,11,1,8,0,5,0,4,5,30,29,42,8,371,925,535,1726,631,1612
"89","OTU_89",0,0,0,0,0,0,0,2802,0,0,0,0,24,6,1,16,3,29,0,0,0,0,0,0,0,0,1,3,24,0,0,0,0,0,1,0,5,5,0,1,2,2,934,2989,288,643,221,485
"90","OTU_90",0,0,0,4,0,0,0,135,0,0,0,0,696,184,260,448,603,1560,0,0,19,17,19,59,2,19,0,0,1,0,0,0,0,0,2,0,8,8,2,14,6,3,237,881,290,843,439,1182
