"OTU","Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"72","Zotu72",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1871,2419,2696,8412,1046,1591,62,162,366,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,2,1
"73","Zotu73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,8844,121,7062,12500,5767,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Zotu74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,202,324,2717,4197,8296,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0
"75","Zotu75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1938,832,0,0,0,0,4117,12,3928,8,8065,59,0,0,0,0,0,0
"76","Zotu76",0,0,0,0,0,0,0,39,15,0,0,0,6,2,0,0,0,7,0,0,7,3,5,5,199,4,1,1,5,0,3,4,0,0,1,0,835,1399,684,1464,2183,1615,951,3154,406,677,977,4729
"77","Zotu77",0,0,0,1,0,0,0,18,0,0,0,0,4,0,3,3,1,8,0,0,1689,2413,1573,3743,1643,3001,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,36,125,47,115,70,198
"78","Zotu78",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,12,1,0,1,0,0,1945,3696,1129,3571,2014,2208,9,30,3,29,5,57
"79","Zotu79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,1327,9408,2953,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Zotu80",0,0,0,0,0,0,0,5,0,0,0,0,8,1,1,3,2,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,7,28,2,8,3,10,1,4,2,7
"81","Zotu81",0,0,0,0,14969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,5,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,4,7,0,1,1
"82","Zotu82",0,0,4221,12765,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,24,20,45,17,9,0,0,0,2,1,5
"83","Zotu83",90778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
