"OTU","L.AQ.1","L.AQ.2","L.BALL.1","L.BALL.2","L.Control.1","L.Control.2","L.Control.3","L.Control.4","L.Control.5","L.Control.6","L.EMPTY.1","L.EMPTY.2","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PCR1.NTC","L.PCR2.NTC","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.S.10","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"86","Zotu86",0,0,0,0,0,0,0,741,0,0,0,0,11,7,10,14,11,13,0,0,9,12,4,12,5,19,1359,318,240,2472,1090,623,1478,4977,1627,0,292,133,182,125,199,166,85,116,42,93,118,80
"87","Zotu87",0,0,0,0,0,0,0,0,0,0,0,0,1080,3,13071,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,2
"88","Zotu88",0,0,0,0,0,0,0,0,0,0,0,0,3200,916,2269,1638,2248,3424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","Zotu89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6016,2336,3602,4361,3864,2877,8,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Zotu90",0,0,0,0,0,0,0,13,0,0,0,0,19,14,7,13,15,22,0,0,0,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,9,15,7,5,5,6,28,29,6,17,19,15
"91","Zotu91",0,0,0,0,0,0,0,32,0,0,0,0,820,486,491,466,713,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,258,185,253,264,259,2428,3051,693,3604,2454,3032
"92","Zotu92",0,0,0,0,0,0,0,23,0,0,0,0,626,459,219,308,316,191,0,0,378,187,331,133,547,183,1621,6660,1711,155,73,149,49,57,75,0,103,98,130,58,68,52,40,24,4,25,41,11
"93","Zotu93",0,0,0,3,0,0,0,1622,0,0,0,0,1182,986,674,976,706,1054,0,0,307,323,205,306,199,214,0,3,0,2,0,4,0,0,0,0,1485,2095,1916,1619,1612,2042,1267,1737,395,1451,1242,1440
"94","Zotu94",0,0,0,0,0,0,0,407,0,0,0,0,341,297,249,287,217,302,0,0,77,95,47,137,32,63,0,0,0,2,3,0,0,0,0,0,1028,1391,1241,1005,1007,1410,606,774,224,706,656,564
"95","Zotu95",0,0,0,0,0,0,0,1,0,0,0,0,5,8,6,5,13127,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,2,1,0,5,0
"96","Zotu96",0,0,0,0,0,0,0,63,0,0,0,0,2121,72,952,44,1026,56,0,0,89,9,111,3,193,0,15,10,3,485,119,68,224,653,238,0,698,132,1108,128,1189,259,838,34,279,48,907,42
"97","Zotu97",0,0,0,0,0,0,0,1828,0,0,0,0,969,669,452,756,570,832,0,0,102,109,69,104,91,93,0,0,0,0,1,0,0,0,0,0,595,889,737,649,692,888,717,808,204,662,769,663
"98","Zotu98",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2176,2404,1259,2586,1645,1744,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"99","Zotu99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Zotu100",0,0,0,0,0,0,0,41,0,0,0,0,56,18,57,23,56,53,0,0,4,3,11,8,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,21,17,8,16,8,3,25,12,20
"101","Zotu101",0,0,3292,8262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Zotu102",0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318,9885,1451,0,0,0,0,0,0,0,0,4,0,4,0,0
"103","Zotu103",0,0,0,0,0,0,0,71,0,0,0,0,2173,1999,1532,1847,1405,1826,0,0,750,800,574,430,916,1167,7,4,6,7,0,0,2,1,0,0,5,1,0,2,1,1,3,17,0,4,11,12
"104","Zotu104",0,0,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,657,62,0,2,0,0,385,0,0,5810,4692,24,1712,3430,1
