"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"OTU_1054",0,0,0,0,0,0,0,0,0,0,0,0,48,7,8,34,222,44,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"OTU_1055",0,0,0,0,0,0,100,155,59,144,119,132,0,0,0,0,0,0,0,0,0,16,29,18,21,23,27,3,13,0,4,0,3
"OTU_10552",5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10555",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1056",0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,8,0,0,0,4,0,0,0,0,0,0,0,177,153,37,222,194,224
"OTU_10562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0
"OTU_1058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,110,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10586",0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1059",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,82,81,76,83,0,104,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10591",0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0
"OTU_10593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
"OTU_10595",0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_106",144,76,62,66,116,155,1250,960,1099,918,1388,1151,764,44,52,6,0,0,0,4,0,32,32,26,12,22,13,0,0,0,0,0,0
"OTU_10603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1061",0,0,0,0,0,0,34,0,0,14,0,0,0,4,4,0,0,0,0,3,101,0,0,0,0,0,0,23,33,8,29,23,25
"OTU_10614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10623",0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,11,0,0
"OTU_10632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0
"OTU_1064",75,45,52,36,81,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,10,0,7
"OTU_10645",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"OTU_1065",0,0,0,0,0,0,11,6,22,0,0,0,73,76,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10652",0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10659",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"OTU_1066",0,0,0,0,0,0,0,0,4,0,0,0,189,203,252,147,123,25,3,7,0,0,0,4,0,0,0,0,0,0,0,0,0
"OTU_10662",0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10665",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
"OTU_1068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,45,30,23,12,69,76,12,22,8,6,14,7
"OTU_1069",0,0,0,0,0,0,0,0,0,0,0,0,46,17,38,74,62,27,44,106,71,0,0,0,0,0,0,0,5,0,0,0,0
"OTU_10692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0
