"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"160",1421,1316,657,930,656,1437,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,18,8
"161",6,4,3,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,5,4,9,12,0,6,13,13
"162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,11,4,28,9,0,0,0,0,0,0,0,0,0,0,0,0
"163",0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,957,395,248,134,331,128,390,172,88,171,140,122,400,448,109,463,538,431
"165",1061,937,794,842,708,1018,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,5,17,25,16
"166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,830,1206,1054,855,862,1056,27,46,9,33,32,24
"167",0,0,0,0,0,0,1051,685,920,977,1377,963,26,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",0,0,0,0,0,0,0,4,0,0,0,0,2531,1221,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",324,219,172,229,192,267,16,13,0,21,0,7,0,0,0,0,0,0,0,0,0,516,728,576,516,579,789,246,341,68,261,258,283
"170",2442,1125,1440,1723,1393,2311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",130,81,63,73,44,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0,14,10,0,0,0,1494,1808,2114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,694,148,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0
"176",0,0,0,0,0,0,3,6,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177",0,0,0,0,0,0,0,0,12,0,0,0,1889,1632,1643,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0
"180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,1123,1017,869,871,1147,27,31,13,31,31,26
"181",0,0,0,0,0,0,0,0,0,0,0,0,6,11,9,46,11,19,114,431,224,151,46,42,10,4,18,147,242,112,130,40,87
"182",1232,556,620,507,586,952,171,133,133,140,217,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,64,5,34,89,20
"183",9,0,0,0,0,4,7,9,19,21,9,15,0,0,0,0,0,0,0,0,0,548,741,665,567,583,692,170,215,33,145,106,186
"184",120,115,194,209,151,212,0,0,0,0,0,0,214,23,61,13,8,6,0,0,0,819,450,353,446,395,410,0,0,36,0,20,0
"185",6,0,0,3,0,3,91,32,91,50,79,15,579,44,53,851,137,52,55,72,33,271,80,131,68,173,41,16,18,15,41,37,36
"186",0,3,0,5,0,0,6,0,16,14,6,6,327,895,810,927,644,332,527,1267,511,0,9,5,10,17,9,4,23,0,5,7,0
"187",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2154,4541,3037,59,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,78,91,47,85,69,0,0,4,335,1241,0,0,0,0,0,0,2615
"189",0,0,6,6,0,6,0,0,0,0,3,0,0,0,0,13,0,4699,0,0,0,0,5,3,0,0,3,0,0,0,0,0,0
"190",351,336,176,364,211,368,47,62,64,76,57,54,4,0,0,0,0,0,0,0,0,316,519,382,354,305,409,464,703,148,709,478,609
"191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,1778,1478,1259,1232,1650,64,94,24,102,65,101
"192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5268,0,0,5,43,11,0,0,0,0,0,0,0,3,17,9,23,0
"193",0,0,0,0,0,0,0,0,4726,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",147,113,72,113,53,116,6,7,0,6,12,6,0,0,0,0,0,0,0,0,0,380,487,465,374,298,486,317,438,64,345,325,312
"195",10,13,6,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0
"196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1329,120,533,87,471,94,1606,247,0,106,313,0
"197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,377,25,0,0,0,0,0,0,0,4345,0,0,0,0
