"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"180",0,0,0,0,0,0,0,0,0,0,0,0,0,3,784,1066,2662,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",40,25,9,33,24,42,0,0,0,0,0,0,25,3,12,23,16,0,772,848,1023,4,0,0,0,0,0,113,216,103,163,174,234
"184",0,0,0,0,0,0,0,0,0,0,0,0,10,22,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",11,3,4,7,6,34,132,102,301,279,90,53,85,8,18,0,0,0,4,3,5,837,987,314,1735,274,543,107,297,91,227,121,376
"186",0,0,0,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,661,424,990,1009,904
"187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,966,1691,69,814,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,359,0,0,0,0,0,0,0,36,326,10,560,53,77,63,237,203,534,2857,2252,397,962,38,0,6,0,0,0
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,3144,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",50,3,10,24,23,68,0,0,0,0,0,0,0,0,0,3,0,0,14,25,32,3,0,0,8,0,8,240,861,236,679,400,1204
"193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,42,25,23,0,0,0,0,0,0
"195",0,0,0,0,0,0,0,0,0,0,0,0,0,977,3339,101,2484,78,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0
"196",0,0,0,0,0,0,0,0,0,0,0,0,2863,148,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",0,0,0,0,0,0,0,0,0,0,0,0,29,86,2731,99,615,62,19,19,13,0,3,0,0,0,0,0,0,0,0,0,0
"198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,767,2439,0,0,0,0,0,0,0,0,0,0,0,0
"200",0,0,0,0,0,0,979,985,876,1718,815,1405,10,6,10,0,0,0,0,0,0,79,158,57,119,72,87,3,0,0,0,0,4
