Zotu1100,"Arachnida"
Zotu2604,"Arachnida"
Zotu2649,"Arachnida"
Zotu3422,"Arachnida"
Zotu2791,"Arachnida"
Zotu178,"Arachnida"
Zotu929,"Arachnida"
Zotu3335,"Arachnida"
Zotu3543,"Arachnida"
Zotu2826,"Arachnida"
Zotu3710,"Crustacea"
Zotu948,"Branchiopoda"
Zotu1657,"Malacostraca"
Zotu3234,"Malacostraca"
Zotu124,"Malacostraca"
Zotu580,"Malacostraca"
Zotu2268,"Malacostraca"
Zotu12,"Maxillopoda"
Zotu46,"Maxillopoda"
Zotu75,"Maxillopoda"
Zotu13,"Maxillopoda"
Zotu17,"Maxillopoda"
Zotu154,"Maxillopoda"
Zotu177,"Maxillopoda"
Zotu188,"Maxillopoda"
Zotu195,"Maxillopoda"
Zotu198,"Maxillopoda"
Zotu205,"Maxillopoda"
Zotu233,"Maxillopoda"
Zotu242,"Maxillopoda"
Zotu334,"Maxillopoda"
Zotu418,"Maxillopoda"
Zotu421,"Maxillopoda"
Zotu453,"Maxillopoda"
Zotu454,"Maxillopoda"
Zotu464,"Maxillopoda"
Zotu610,"Maxillopoda"
Zotu725,"Maxillopoda"
Zotu777,"Maxillopoda"
Zotu848,"Maxillopoda"
Zotu908,"Maxillopoda"
Zotu924,"Maxillopoda"
Zotu949,"Maxillopoda"
Zotu962,"Maxillopoda"
Zotu1011,"Maxillopoda"
Zotu1059,"Maxillopoda"
Zotu1068,"Maxillopoda"
Zotu1108,"Maxillopoda"
Zotu1225,"Maxillopoda"
Zotu1242,"Maxillopoda"
Zotu1256,"Maxillopoda"
Zotu1272,"Maxillopoda"
Zotu1441,"Maxillopoda"
Zotu1487,"Maxillopoda"
Zotu1686,"Maxillopoda"
Zotu1852,"Maxillopoda"
Zotu2384,"Maxillopoda"
Zotu2521,"Maxillopoda"
Zotu2673,"Maxillopoda"
Zotu3001,"Maxillopoda"
Zotu3020,"Maxillopoda"
Zotu3529,"Maxillopoda"
Zotu3681,"Maxillopoda"
Zotu3280,"Maxillopoda"
Zotu951,"Maxillopoda"
Zotu1599,"Maxillopoda"
Zotu2805,"Maxillopoda"
Zotu3662,"Maxillopoda"
Zotu1,"Maxillopoda"
Zotu2107,"Maxillopoda"
Zotu2497,"Maxillopoda"
Zotu3715,"Maxillopoda"
Zotu3721,"Maxillopoda"
Zotu49,"Maxillopoda"
Zotu57,"Maxillopoda"
Zotu143,"Maxillopoda"
Zotu513,"Maxillopoda"
Zotu937,"Maxillopoda"
Zotu1033,"Maxillopoda"
Zotu1128,"Maxillopoda"
Zotu1419,"Maxillopoda"
Zotu2155,"Maxillopoda"
Zotu3547,"Maxillopoda"
Zotu9,"Maxillopoda"
Zotu244,"Maxillopoda"
Zotu730,"Maxillopoda"
Zotu980,"Maxillopoda"
Zotu1818,"Maxillopoda"
Zotu366,"Maxillopoda"
Zotu1138,"Maxillopoda"
Zotu1218,"Maxillopoda"
Zotu699,"Maxillopoda"
Zotu1475,"Maxillopoda"
Zotu593,"Maxillopoda"
Zotu312,"Maxillopoda"
Zotu35,"Maxillopoda"
Zotu733,"Maxillopoda"
Zotu736,"Maxillopoda"
Zotu3419,"Maxillopoda"
Zotu3423,"Maxillopoda"
Zotu3558,"Maxillopoda"
Zotu29,"Maxillopoda"
Zotu1904,"Maxillopoda"
Zotu1008,"Maxillopoda"
Zotu1592,"Maxillopoda"
Zotu2377,"Maxillopoda"
Zotu2463,"Maxillopoda"
Zotu26,"Maxillopoda"
Zotu210,"Maxillopoda"
Zotu703,"Maxillopoda"
Zotu6,"Maxillopoda"
Zotu407,"Maxillopoda"
Zotu904,"Maxillopoda"
Zotu3701,"Maxillopoda"
Zotu555,"Maxillopoda"
Zotu257,"Maxillopoda"
Zotu1855,"Maxillopoda"
Zotu677,"Maxillopoda"
Zotu2125,"Maxillopoda"
Zotu2535,"Maxillopoda"
Zotu5,"Maxillopoda"
Zotu1604,"Maxillopoda"
Zotu4,"Maxillopoda"
Zotu714,"Ostracoda"
Zotu45,"Ostracoda"
Zotu231,"Ostracoda"
Zotu280,"Ostracoda"
Zotu390,"Ostracoda"
Zotu764,"Ostracoda"
Zotu967,"Ostracoda"
Zotu954,"Ostracoda"
Zotu756,"Ostracoda"
Zotu2981,"Ostracoda"
Zotu1355,"Collembola"
Zotu342,"Collembola"
Zotu2647,"Insecta"
Zotu1823,"Eutardigrada"
Zotu1550,"Eutardigrada"
Zotu158,"Kinorhyncha"
Zotu541,"Kinorhyncha"
Zotu330,"Kinorhyncha"
Zotu842,"Kinorhyncha"
Zotu1159,"Kinorhyncha"
Zotu3278,"Kinorhyncha"
Zotu54,"Lophotrochozoa"
Zotu477,"Lophotrochozoa"
Zotu663,"Lophotrochozoa"
Zotu1506,"Lophotrochozoa"
Zotu1519,"Lophotrochozoa"
Zotu1718,"Lophotrochozoa"
Zotu3713,"Lophotrochozoa"
Zotu165,"Clitellata"
Zotu171,"Clitellata"
Zotu2063,"Clitellata"
Zotu546,"Clitellata"
Zotu906,"Polychaeta"
Zotu802,"Polychaeta"
Zotu111,"Polychaeta"
Zotu2851,"Polychaeta"
Zotu3375,"Polychaeta"
Zotu155,"Polychaeta"
Zotu2309,"Polychaeta"
Zotu2550,"Polychaeta"
Zotu2854,"Polychaeta"
Zotu2940,"Polychaeta"
Zotu2894,"Polychaeta"
Zotu628,"Polychaeta"
Zotu898,"Polychaeta"
Zotu978,"Polychaeta"
Zotu1251,"Polychaeta"
Zotu176,"Polychaeta"
Zotu817,"Polychaeta"
Zotu2260,"Polychaeta"
Zotu2889,"Polychaeta"
Zotu478,"Polychaeta"
Zotu50,"Polychaeta"
Zotu1030,"Polychaeta"
Zotu3755,"Polychaeta"
Zotu2529,"Polychaeta"
Zotu3054,"Polychaeta"
Zotu84,"Polychaeta"
Zotu305,"Polychaeta"
Zotu527,"Polychaeta"
Zotu1843,"Polychaeta"
Zotu2055,"Polychaeta"
Zotu2834,"Polychaeta"
Zotu3429,"Polychaeta"
Zotu3670,"Polychaeta"
Zotu318,"Polychaeta"
Zotu402,"Polychaeta"
Zotu3663,"Polychaeta"
Zotu553,"Polychaeta"
Zotu722,"Polychaeta"
Zotu1918,"Polychaeta"
Zotu21,"Polychaeta"
Zotu367,"Polychaeta"
Zotu3037,"Polychaeta"
Zotu3373,"Polychaeta"
Zotu691,"Polychaeta"
Zotu693,"Polychaeta"
Zotu1467,"Polychaeta"
Zotu179,"Polychaeta"
Zotu232,"Polychaeta"
Zotu1086,"Polychaeta"
Zotu1345,"Polychaeta"
Zotu1500,"Polychaeta"
Zotu2929,"Polychaeta"
Zotu2945,"Polychaeta"
Zotu3023,"Polychaeta"
Zotu3243,"Polychaeta"
Zotu1358,"Polychaeta"
Zotu3238,"Polychaeta"
Zotu3827,"Polychaeta"
Zotu2875,"Polychaeta"
Zotu990,"Polychaeta"
Zotu860,"Polychaeta"
Zotu1167,"Polychaeta"
Zotu2515,"Polychaeta"
Zotu47,"Polychaeta"
Zotu64,"Polychaeta"
Zotu296,"Polychaeta"
Zotu386,"Polychaeta"
Zotu392,"Polychaeta"
Zotu2366,"Polychaeta"
Zotu521,"Polychaeta"
Zotu641,"Polychaeta"
Zotu3671,"Polychaeta"
Zotu2343,"Polychaeta"
Zotu631,"Polychaeta"
Zotu144,"Polychaeta"
Zotu152,"Polychaeta"
Zotu3805,"Polychaeta"
Zotu942,"Polychaeta"
Zotu563,"Gymnolaemata"
Zotu708,"Gymnolaemata"
Zotu1752,"Gymnolaemata"
Zotu2776,"Gymnolaemata"
Zotu3246,"Gymnolaemata"
Zotu3463,"Gymnolaemata"
Zotu1715,"Gymnolaemata"
Zotu1906,"Gymnolaemata"
Zotu1995,"Gymnolaemata"
Zotu2171,"Gymnolaemata"
Zotu3592,"Gymnolaemata"
Zotu3350,"Gymnolaemata"
Zotu357,"Gymnolaemata"
Zotu946,"Gymnolaemata"
Zotu1557,"Gymnolaemata"
Zotu3599,"Gymnolaemata"
Zotu637,"Entoprocta"
Zotu1119,"Entoprocta"
Zotu1406,"Entoprocta"
Zotu2274,"Entoprocta"
Zotu496,"Entoprocta"
Zotu2551,"Gastrotricha"
